poly_modulus_degree | count | asynchronous | upper_bound | error_ratio | elapsed_time
4096 | 10 | 0 | 0.1 | 2.50543e-05 | 0.0157568
4096 | 10 | 0 | 1 | 9.36904e-05 | 0.0155763
4096 | 10 | 0 | 10 | 0.000137381 | 0.0155514
4096 | 10 | 0 | 100 | 6.34923e-05 | 0.0154742
4096 | 10 | 0 | 1000 | 7.45064e-05 | 0.0168396
4096 | 10 | 1 | 0.1 | 4.48886e-05 | 0.022515
4096 | 10 | 1 | 1 | 4.78143e-05 | 0.0211816
4096 | 10 | 1 | 10 | 9.94717e-05 | 0.0218204
4096 | 10 | 1 | 100 | 3.1499e-05 | 0.021786
4096 | 10 | 1 | 1000 | 0.000305824 | 0.0236667
4096 | 100 | 0 | 0.1 | 3.20802e-05 | 0.140144
4096 | 100 | 0 | 1 | 0.000153562 | 0.139978
4096 | 100 | 0 | 10 | 1.13938e-05 | 0.14072
4096 | 100 | 0 | 100 | 6.61511e-05 | 0.140046
4096 | 100 | 0 | 1000 | 1.14551e-05 | 0.141648
4096 | 100 | 1 | 0.1 | 6.38385e-05 | 0.0311396
4096 | 100 | 1 | 1 | 8.19504e-06 | 0.0359209
4096 | 100 | 1 | 10 | 3.81229e-05 | 0.0253847
4096 | 100 | 1 | 100 | 1.27999e-05 | 0.0268748
4096 | 100 | 1 | 1000 | 3.58633e-05 | 0.026318
4096 | 1000 | 0 | 0.1 | 2.17183e-05 | 1.39306
4096 | 1000 | 0 | 1 | 9.04668e-06 | 1.38863
4096 | 1000 | 0 | 10 | 1.74211e-06 | 1.39165
4096 | 1000 | 0 | 100 | 1.21432e-05 | 1.39687
4096 | 1000 | 0 | 1000 | 2.72105e-05 | 1.39216
4096 | 1000 | 1 | 0.1 | 1.89799e-05 | 0.183695
4096 | 1000 | 1 | 1 | 1.31119e-05 | 0.274028
4096 | 1000 | 1 | 10 | 2.22587e-06 | 0.348804
4096 | 1000 | 1 | 100 | 6.37203e-06 | 0.360651
4096 | 1000 | 1 | 1000 | 8.28535e-06 | 0.309003
4096 | 5000 | 0 | 0.1 | 2.57187e-07 | 6.94691
4096 | 5000 | 0 | 1 | 8.9711e-06 | 6.96282
4096 | 5000 | 0 | 10 | 4.32297e-07 | 6.96357
4096 | 5000 | 0 | 100 | 8.12596e-06 | 6.9603
4096 | 5000 | 0 | 1000 | 2.72183e-06 | 6.96431
4096 | 5000 | 1 | 0.1 | 6.86429e-06 | 1.36198
4096 | 5000 | 1 | 1 | 2.70802e-06 | 1.50665
4096 | 5000 | 1 | 10 | 1.5556e-06 | 1.44625
4096 | 5000 | 1 | 100 | 2.10655e-06 | 1.51216
4096 | 5000 | 1 | 1000 | 5.47239e-06 | 1.63077
4096 | 10000 | 0 | 0.1 | 2.40006e-07 | 12.8524
4096 | 10000 | 0 | 1 | 2.10157e-06 | 13.8935
4096 | 10000 | 0 | 10 | 1.73875e-06 | 14.0992
4096 | 10000 | 0 | 100 | 9.03304e-07 | 13.9187
4096 | 10000 | 0 | 1000 | 1.05916e-07 | 13.9338
4096 | 10000 | 1 | 0.1 | 2.48294e-06 | 3.71507
4096 | 10000 | 1 | 1 | 1.67293e-06 | 5.11107
4096 | 10000 | 1 | 10 | 2.25298e-06 | 5.02012
4096 | 10000 | 1 | 100 | 2.6688e-06 | 4.51994
4096 | 10000 | 1 | 1000 | 1.57106e-07 | 4.92646
8192 | 10 | 0 | 0.1 | 1.76219e-06 | 0.0346813
8192 | 10 | 0 | 1 | 3.73896e-06 | 0.0465757
8192 | 10 | 0 | 10 | 1.75299e-05 | 0.0423608
8192 | 10 | 0 | 100 | 2.39691e-05 | 0.0373978
8192 | 10 | 0 | 1000 | 2.18761e-05 | 0.0354613
8192 | 10 | 1 | 0.1 | 1.78319e-05 | 0.0770218
8192 | 10 | 1 | 1 | 2.89731e-06 | 0.152741
8192 | 10 | 1 | 10 | 4.2534e-05 | 0.0740833
8192 | 10 | 1 | 100 | 6.24526e-06 | 0.0603129
8192 | 10 | 1 | 1000 | 1.13615e-05 | 0.121849
8192 | 100 | 0 | 0.1 | 3.47529e-06 | 0.4318
8192 | 100 | 0 | 1 | 1.20704e-05 | 0.704016
8192 | 100 | 0 | 10 | 2.0799e-06 | 0.831912
8192 | 100 | 0 | 100 | 2.55782e-06 | 0.558571
8192 | 100 | 0 | 1000 | 2.99105e-06 | 0.751161
8192 | 100 | 1 | 0.1 | 3.65553e-06 | 0.191489
8192 | 100 | 1 | 1 | 1.06154e-05 | 0.2117
8192 | 100 | 1 | 10 | 1.48925e-06 | 0.196382
8192 | 100 | 1 | 100 | 7.87152e-07 | 0.14679
8192 | 100 | 1 | 1000 | 1.70458e-06 | 0.206709
8192 | 1000 | 0 | 0.1 | 7.62845e-07 | 7.78453
8192 | 1000 | 0 | 1 | 2.39354e-06 | 3.83582
8192 | 1000 | 0 | 10 | 1.59368e-07 | 4.29199
8192 | 1000 | 0 | 100 | 9.80115e-07 | 4.37575
8192 | 1000 | 0 | 1000 | 7.21851e-07 | 4.28485
8192 | 1000 | 1 | 0.1 | 4.69546e-06 | 0.9714
8192 | 1000 | 1 | 1 | 7.07421e-07 | 1.06784
8192 | 1000 | 1 | 10 | 4.78479e-06 | 1.16555
8192 | 1000 | 1 | 100 | 2.12037e-06 | 1.22278
8192 | 1000 | 1 | 1000 | 2.15938e-06 | 1.1296
8192 | 5000 | 0 | 0.1 | 6.11886e-07 | 21.4694
8192 | 5000 | 0 | 1 | 1.11016e-06 | 21.1515
8192 | 5000 | 0 | 10 | 1.86017e-07 | 20.8348
8192 | 5000 | 0 | 100 | 2.00168e-07 | 20.9708
8192 | 5000 | 0 | 1000 | 1.07487e-06 | 20.9263
8192 | 5000 | 1 | 0.1 | 2.66803e-07 | 5.52987
8192 | 5000 | 1 | 1 | 3.02294e-07 | 5.4831
8192 | 5000 | 1 | 10 | 2.23412e-06 | 5.77331
8192 | 5000 | 1 | 100 | 9.68929e-07 | 5.64026
8192 | 5000 | 1 | 1000 | 7.78206e-07 | 5.74839
